final_rank,gene_symbol,normalized_rank,normalized.trait.kdg.rank,Asteriks,Previous experimental validation in IBD,KO mouse available,Annotation,Other,,,,
1,CD53,0.114108379,0.052631579,//,,,"PMID: 24832104, PMID: 20407468, PMID: 15055538, PMID: 10405235 ",,,,,
2,RHOH,0.203389831,0.030075188,//,,,PMID: 22689994 ,,,,,
3,DOCK2,0.033898305,0.210526316,orange,,,,,,,,
4,FGR,0.183098592,0.082706767,//,,,"PMID: 27514533, PMID: 22178739  ",,,,,
5,NCKAP1L,0.23943662,0.022556391,orange,,,,,,,,
6,CXCL10,0.105633803,0.203007519,black,,,PMID: 26721935,,,,,
7,FCER1G,0.154929577,0.15037594,//,,,"PMID: 27181049, PMID: 26801967, PMID: 22208453, PMID: 22666666  ",,,,,
8,SLAMF8,0.322033898,0.037593985,black,,x,PMID:25799045,,,,,
9,NFAM1,0.112676056,0.240601504,black,,,"PMID:15143214, PMID: 12615919 ",CNAIP,,,,
10,PIK3CD,0.23943662,0.112781955,black,,,PMID:24634494,,,,,
11,DOK3,0.225352113,0.142857143,orange,,,,,,,,
12,GBP5,0.204225352,0.165413534,,,x,PMID:22461501,,,,,
13,AIF1,0.309859155,0.120300752,orange,,,PMID:12941148,,,,,
14,GPSM3,0.38028169,0.090225564,orange,,,,,,,,
15,CXCL9,0.11971831,0.315789474,black,,,PMID: 26776522,,,,,
16,ARHGDIB,0.423728814,0.045112782,//,,,,"D4, GDIA2, GDID4, LYGDI, Ly-GDI, RAP1GN1, RhoGDI2",,,,
17,CD28,0.042253521,0.421052632,black,,,PMID: 28035546,,,,,
18,FMNL1,0.474576271,0.015037594,//,,,,,,,,
19,TFEC,0.118644068,0.390977444,//,,,,"TCFEC, TFE-C-L, TFECL, bHLHe34, hTFEC-L, TFEC",,,,
20,ARHGAP25,0.419789926,0.127819549,//,,,,,,,,
21,DAPP1,0.098591549,0.443609023,//,,,,BAM32,,,,
22,IDO1,0.070422535,0.496240602,black,,,PMID: 26610689 ,,,,,
23,KCNAB2,0.457627119,0.105263158,//,,,,"AKR6A5, HKvbeta2, HKvbeta2.1, HKvbeta2.2, KCNA2B, KV-BETA-2",,,,
24,SASH3,0.479828121,0.067669173,//,,,,"HACS2, SH3D6C, SLY",,,,
25,CORO1A,0.447004058,0.135338346,//,,,,,,,,
26,FAM26F,0.152542373,0.45112782,black,,,PMID: 25082827 ,"C6orf187, INAM, dJ93H18.5",,,,
27,GBP4,0.415492958,0.22556391,//,,,,,,,,
28,CD38,0.186440678,0.428571429,black,,,"PMID: 25938500, PMID: 23600521  ",,,,,
