names(r),ibd_gwas_genes_rank,original_immune_network_rank,cd_versus_cl_DE_SIG_rank,cd_versus_cl_colon_DE_SIG_rank,cd_versus_uc_colon_DE_SIG_rank,CRP_SIG_rank,disease_duration_SIG_rank,veo_ibd_rank
ADAM19,0.788732394,0.577464789,0.514084507,0.521126761,0.73943662,0.577464789,0.556338028,0.457746479
AIF1,0.323943662,0.309859155,0.894366197,0.394366197,0.408450704,0.478873239,0.190140845,0.577464789
APOL1,0.543447123,0.736571974,0.773096204,0.094413941,0.407973263,0.736452614,0.629028408,0.585700645
APOL2,0.267605634,0.478873239,0.535211268,0.014084507,0.014084507,0.830985915,0.535211268,0.183098592
APOL3,0.383862497,0.671361502,0.445452375,0.553592743,0.546988144,0.411235776,0.097716241,0.584785549
AQP9,0.626760563,0.936619718,0.316901408,0.267605634,0.288732394,0.38028169,0.73943662,0.464788732
ARHGAP25,0.496299833,0.41167343,0.294461685,0.59369778,0.583790881,0.509190738,0.332537598,0.551086178
ARHGAP30,0.704225352,0.154929577,1,0.971830986,0.823943662,0.077464789,0.070422535,0.507042254
ARHGDIB,0.355932203,0.311291478,0.181586695,0.645579693,0.638975093,0.271982176,0.752446885,0.554706772
ARRB2,0.711864407,0.491525424,0.745762712,0.322033898,0.288135593,0.728813559,0.322033898,0.644067797
BASP1,0.471830986,0.394366197,0.5,0.549295775,0.570422535,0.394366197,0.633802817,0.704225352
BCL2A1,0.873239437,0.253521127,0.309859155,0.535211268,0.549295775,0.718309859,0.901408451,0.197183099
BIN2,0.76056338,0.492957746,0.901408451,0.647887324,0.647887324,0.957746479,0.126760563,0.746478873
C3AR1,0.966101695,0.118644068,0.830508475,0.559322034,0.525423729,0.796610169,0.016949153,0.779661017
CD27,0.169491525,0.915254237,0.169491525,0.13559322,0.101694915,0.813559322,0.728813559,0.491525424
CD28,0.704225352,0.169014085,0.056338028,0.323943662,0.352112676,0.521126761,0.464788732,0.169014085
CD300A,0.802816901,0.14084507,0.309859155,0.056338028,0.056338028,0.774647887,0.112676056,0.225352113
CD38,0.983050847,0.372881356,0.186440678,0.593220339,0.559322034,0.118644068,0.118644068,0.288135593
CD3D,0.295177847,0.582477918,0.413463834,0.240988303,0.238123657,0.935187396,0.757340654,0.545714968
CD52,0.526617331,0.67724994,0.695034614,0.145142039,0.142277393,0.795655288,0.576629267,0.463953211
CD53,0.2187873,0.064931965,0.342444497,0.737288136,0.720338983,0.173311053,0.173311053,0.057770351
CD8A,0.305084746,0.254237288,0.338983051,0.372881356,0.338983051,0.559322034,0.830508475,0.661016949
CHST11,0.59381714,0.653377894,0.733110528,0.374671759,0.730603963,0.847815708,0.452733349,0.856170924
CLEC7A,0.661016949,0.542372881,0.661016949,0.186440678,0.152542373,0.677966102,0.254237288,0.525423729
CORO1A,0.191692528,0.605395082,0.570780616,0.667104321,0.657197422,0.389114347,0.547744092,0.138099785
CSF2RB,0.598591549,0.535211268,0.443661972,0.922535211,0.922535211,0.471830986,0.753521127,0.971830986
CSF3R,0.288135593,0.406779661,0.322033898,0.338983051,0.305084746,0.203389831,0.796610169,0.203389831
CTLA4,0.056338028,0.23943662,0.422535211,0.85915493,0.85915493,0.183098592,0.154929577,0.943661972
CXCL10,0.161971831,0.542253521,0.492957746,0.084507042,0.105633803,0.5,0.457746479,0.316901408
CXCL11,0.535211268,0.394366197,0.577464789,0.070422535,0.070422535,0.070422535,0.352112676,0.23943662
CXCL6,0.774647887,0.85915493,0.183098592,0.056338028,0.098591549,0.830985915,0.647887324,0.352112676
CXCL9,0.35915493,0.549295775,0.591549296,0.091549296,0.112676056,0.577464789,0.246478873,0.323943662
CYBB,0.943661972,0.76056338,0.507042254,0.605633803,0.605633803,0.690140845,0.436619718,0.704225352
CYTIP,0.746478873,0.112676056,0.281690141,0.436619718,0.464788732,0.338028169,0.507042254,0.183098592
DAPP1,0.042253521,0.718309859,0.084507042,0.169014085,0.169014085,0.323943662,0.661971831,0.338028169
DOCK2,0.152542373,0.016949153,0.101694915,1,1,0.016949153,0.13559322,0.06779661
DOK3,0.908450704,0.246478873,0.126760563,0.542253521,0.549295775,0.492957746,0.302816901,0.105633803
DRAM1,0.957746479,0.690140845,0.338028169,0.690140845,0.690140845,0.633802817,0.915492958,0.788732394
EMILIN2,0.887323944,0.887323944,0.225352113,0.394366197,0.394366197,0.605633803,0.774647887,0.507042254
EMR2,0.845070423,0.774647887,0.492957746,0.183098592,0.014084507,0.943661972,0.704225352,0.478873239
FAM26F,0.016949153,0.355932203,0.677966102,0.203389831,0.169491525,0.93220339,0.271186441,0.542372881
FAM49A,0.647887324,0.563380282,0.408450704,0.211267606,0.211267606,0.85915493,0.718309859,0.38028169
FCER1G,0.690857006,0.045118167,0.354738601,0.464231718,0.452932283,0.371210313,0.326330867,0.461685366
FCGR1A,0.887323944,0.732394366,0.816901408,0.014084507,0.028169014,0.816901408,0.591549296,0.309859155
FCGR2A,0.915254237,0.389830508,0.491525424,0.06779661,0.033898305,0.745762712,0.677966102,0.423728814
FCGR2C,0.394366197,0.915492958,0.38028169,0.183098592,0.183098592,0.929577465,0.676056338,0.352112676
FCGR3A,0.14084507,0.661971831,0.183098592,0.323943662,0.323943662,0.704225352,0.38028169,0.464788732
FCGR3B,0.697183099,0.725352113,0.366197183,0.105633803,0.126760563,0.830985915,0.633802817,0.338028169
